gender,ssc_percentage,ssc_board,hsc_percentage,hsc_board,degree_percentage,work_experience,emp_test_percentage,specialisation,mba_percent,status,hsc_subject_Arts,hsc_subject_Commerce,hsc_subject_Science,undergrad_degree_Comm&Mgmt,undergrad_degree_Others,undergrad_degree_Sci&Tech
1,63.0,0,67.0,0,66.0,0,68.0,0,57.69,1,0,1,0,1,0,0
1,76.76,0,76.5,0,67.5,1,73.35,1,64.15,1,0,1,0,1,0,0
1,62.0,1,67.0,1,58.0,0,77.0,1,51.29,0,0,1,0,1,0,0
0,64.0,1,73.5,1,73.0,0,52.0,0,56.7,1,0,1,0,1,0,0
0,67.0,1,53.0,1,65.0,0,64.0,0,58.32,0,0,0,1,0,0,1
0,61.0,1,81.0,1,66.4,0,50.89,0,62.21,1,0,1,0,1,0,0
0,87.0,0,65.0,0,81.0,1,88.0,1,72.78,1,0,0,1,1,0,0
1,62.0,0,51.0,0,52.0,0,68.44,0,62.77,0,0,0,1,0,1,0
0,69.0,1,78.0,1,72.0,0,71.0,0,62.74,1,0,1,0,1,0,0
1,51.0,1,44.0,1,57.0,0,64.0,1,51.45,0,0,1,0,1,0,0
0,79.0,1,76.0,1,65.6,0,58.0,0,55.47,1,0,0,1,0,0,1
0,73.0,0,58.0,0,66.0,0,53.7,0,56.86,1,0,0,1,1,0,0
1,81.0,0,68.0,0,64.0,0,93.0,1,62.56,1,0,0,1,0,0,1
0,78.0,1,77.0,0,80.0,0,60.0,1,66.72,1,0,1,0,1,0,0
0,74.0,0,63.16,0,65.0,1,65.0,0,69.76,0,0,1,0,1,0,0
1,49.0,0,39.0,1,65.0,0,63.0,1,51.21,0,0,0,1,0,1,0
1,87.0,0,87.0,0,68.0,0,95.0,0,62.9,1,0,1,0,1,0,0
0,77.0,0,73.0,0,81.0,1,89.0,1,69.7,1,0,1,0,1,0,0
0,76.0,1,64.0,1,72.0,0,58.0,0,66.53,0,0,0,1,0,0,1
0,70.89,0,71.98,0,65.6,0,68.0,0,71.63,0,0,0,1,1,0,0
1,63.0,1,60.0,1,57.0,1,78.0,1,54.55,1,0,1,0,1,0,0
1,63.0,0,62.0,0,68.0,0,64.0,1,62.46,1,0,1,0,1,0,0
0,50.0,0,37.0,0,52.0,0,65.0,0,56.11,0,1,0,0,0,1,0
0,75.2,1,73.2,1,68.4,0,65.0,0,62.98,1,0,0,1,1,0,0
1,54.4,1,61.12,1,56.2,0,67.0,0,62.65,0,0,1,0,1,0,0
0,40.89,0,45.83,0,53.0,0,71.2,0,65.49,0,0,1,0,1,0,0
1,80.0,0,70.0,0,72.0,0,87.0,0,71.04,1,0,0,1,0,0,1
0,74.0,1,60.0,0,69.0,0,78.0,0,65.56,1,0,0,1,1,0,0
1,60.4,1,66.6,0,65.0,0,71.0,0,52.71,1,0,0,1,1,0,0
1,63.0,0,71.4,0,61.4,0,68.0,1,66.88,1,0,1,0,1,0,0
1,68.0,1,76.0,1,74.0,0,80.0,1,63.59,1,0,1,0,1,0,0
1,74.0,1,62.0,0,68.0,0,74.0,1,57.99,1,0,0,1,1,0,0
1,52.6,1,65.58,0,72.11,0,57.6,1,56.66,1,0,0,1,0,0,1
1,74.0,1,70.0,1,72.0,1,60.0,1,57.24,1,0,0,1,1,0,0
1,84.2,1,73.4,1,66.89,0,61.6,1,62.48,1,0,1,0,1,0,0
0,86.5,0,64.2,0,67.4,0,59.0,1,59.69,1,0,0,1,0,0,1
1,61.0,0,70.0,0,64.0,0,68.5,0,59.5,0,0,1,0,1,0,0
1,80.0,0,73.0,0,75.0,0,61.0,1,58.78,1,0,1,0,1,0,0
1,54.0,0,47.0,0,57.0,0,89.69,0,57.1,0,0,0,1,1,0,0
1,83.0,0,74.0,0,66.0,0,68.92,0,58.46,1,0,0,1,1,0,0
1,80.92,0,78.5,0,67.0,0,68.71,1,60.99,1,0,1,0,1,0,0
0,69.7,1,47.0,1,72.7,0,79.0,0,59.24,0,0,1,0,0,0,1
1,73.0,1,73.0,1,66.0,1,70.0,1,68.07,1,0,0,1,0,0,1
1,82.0,0,61.0,0,62.0,0,89.0,1,65.45,1,0,0,1,0,0,1
1,75.0,0,70.29,0,71.0,0,95.0,1,66.94,1,0,1,0,1,0,0
1,84.86,0,67.0,0,78.0,0,95.5,1,68.53,1,0,0,1,1,0,0
1,64.6,1,83.83,0,71.72,0,86.0,1,59.75,1,0,1,0,1,0,0
1,56.6,1,64.8,1,70.2,0,84.27,1,67.2,1,0,1,0,1,0,0
0,59.0,1,62.0,0,77.5,0,74.0,0,67.0,0,0,1,0,1,0,0
0,66.5,0,70.4,1,71.93,0,61.0,1,64.27,1,1,0,0,1,0,0
1,64.0,0,80.0,0,65.0,1,69.0,1,57.65,1,0,0,1,0,0,1
1,84.0,0,90.9,0,64.5,0,86.04,1,59.42,1,0,0,1,0,0,1
0,69.0,1,62.0,1,66.0,0,75.0,0,67.99,0,0,0,1,0,0,1
0,69.0,0,62.0,0,69.0,1,67.0,0,62.35,1,0,1,0,1,0,0
1,81.7,0,63.0,0,67.0,1,86.0,1,70.2,1,0,0,1,1,0,0
1,63.0,1,67.0,1,74.0,0,82.0,1,60.44,0,0,1,0,1,0,0
1,84.0,0,79.0,0,68.0,1,84.0,1,66.69,1,0,0,1,0,0,1
1,70.0,1,63.0,0,70.0,1,55.0,1,62.0,1,0,0,1,0,0,1
0,83.84,0,89.83,0,77.2,1,78.74,1,76.18,1,0,1,0,1,0,0
1,62.0,0,63.0,0,64.0,0,67.0,1,57.03,1,0,1,0,1,0,0
1,59.6,1,51.0,1,60.0,0,75.0,0,59.08,0,0,0,1,0,1,0
0,66.0,1,62.0,1,73.0,0,58.0,0,64.36,1,0,1,0,1,0,0
0,84.0,0,75.0,0,69.0,1,62.0,0,62.36,1,0,0,1,0,0,1
0,85.0,0,90.0,0,82.0,0,92.0,1,68.03,1,0,1,0,1,0,0
1,52.0,1,57.0,1,50.8,0,67.0,0,62.79,0,0,1,0,1,0,0
0,60.23,1,69.0,1,66.0,0,72.0,1,59.47,1,0,0,1,1,0,0
1,52.0,1,62.0,1,54.0,0,72.0,0,55.41,0,0,1,0,1,0,0
1,58.0,1,62.0,1,64.0,0,53.88,1,54.97,1,0,1,0,1,0,0
1,73.0,1,78.0,0,65.0,1,95.46,1,62.16,1,0,1,0,1,0,0
0,76.0,1,70.0,1,76.0,1,66.0,1,64.44,1,0,0,1,1,0,0
0,70.5,1,62.5,0,61.0,0,93.91,1,69.03,0,0,1,0,1,0,0
0,69.0,1,73.0,1,65.0,0,70.0,1,57.31,1,0,1,0,1,0,0
1,54.0,1,82.0,0,63.0,0,50.0,1,59.47,0,0,1,0,0,0,1
0,45.0,0,57.0,0,58.0,1,56.39,0,64.95,0,0,1,0,1,0,0
1,63.0,1,72.0,1,68.0,0,78.0,0,60.44,1,0,1,0,1,0,0
0,77.0,0,61.0,0,68.0,1,57.5,1,61.31,1,0,1,0,1,0,0
1,73.0,1,78.0,1,73.0,1,85.0,0,65.83,1,0,0,1,0,0,1
1,69.0,1,63.0,0,65.0,1,55.0,0,58.23,1,0,0,1,1,0,0
1,59.0,1,64.0,0,58.0,0,85.0,0,55.3,0,0,0,1,0,0,1
1,61.08,0,50.0,0,54.0,0,71.0,1,65.69,0,0,0,1,0,0,1
1,82.0,0,90.0,0,83.0,0,80.0,0,73.52,1,0,1,0,1,0,0
1,61.0,1,82.0,1,69.0,0,84.0,1,58.31,1,0,1,0,1,0,0
1,52.0,1,63.0,0,65.0,1,86.0,0,56.09,0,0,0,1,0,0,1
0,69.5,1,70.0,1,72.0,0,57.2,0,54.8,1,0,0,1,0,0,1
1,51.0,0,54.0,0,61.0,0,60.0,0,60.64,0,0,0,1,0,0,1
1,58.0,0,61.0,0,61.0,0,58.0,0,53.94,1,0,1,0,1,0,0
0,73.96,0,79.0,0,67.0,0,72.15,1,63.08,1,0,1,0,1,0,0
1,65.0,1,68.0,0,69.0,0,53.7,0,55.01,1,0,0,1,1,0,0
0,73.0,0,63.0,0,66.0,0,89.0,1,60.5,1,0,0,1,1,0,0
1,68.2,1,72.8,1,66.6,1,96.0,1,70.85,1,0,1,0,1,0,0
1,77.0,0,75.0,0,73.0,0,80.0,1,67.05,1,0,0,1,0,0,1
1,76.0,1,80.0,1,78.0,1,97.0,0,70.48,1,0,0,1,0,0,1
1,60.8,1,68.4,1,64.6,1,82.66,1,64.34,1,0,1,0,1,0,0
1,58.0,0,40.0,0,59.0,0,73.0,0,58.81,0,0,0,1,1,0,0
0,64.0,1,67.0,0,69.6,1,55.67,0,71.49,1,0,0,1,0,0,1
0,66.5,1,66.8,1,69.3,1,80.4,1,71.0,1,1,0,0,1,0,0
1,74.0,0,59.0,0,73.0,1,60.0,0,56.7,1,0,1,0,1,0,0
1,67.0,1,71.0,1,64.33,1,64.0,0,61.26,1,0,0,1,0,1,0
0,84.0,1,73.0,1,73.0,0,75.0,1,73.33,1,0,1,0,1,0,0
0,79.0,0,61.0,0,75.5,1,70.0,1,68.2,1,0,0,1,0,0,1
0,72.0,0,60.0,0,69.0,0,55.5,0,58.4,1,0,0,1,1,0,0
1,80.4,1,73.4,1,77.72,1,81.2,0,76.26,1,0,0,1,0,0,1
1,76.7,1,89.7,0,66.0,1,90.0,1,68.55,1,0,1,0,1,0,0
1,62.0,1,65.0,0,60.0,0,84.0,1,64.15,0,0,1,0,1,0,0
0,74.9,0,57.0,0,62.0,1,80.0,1,60.78,1,0,0,1,0,1,0
1,67.0,0,68.0,0,64.0,1,74.4,0,53.49,1,0,1,0,1,0,0
1,73.0,1,64.0,0,77.0,1,65.0,0,60.98,1,0,1,0,1,0,0
0,77.44,1,92.0,0,72.0,1,94.0,1,67.13,1,0,1,0,1,0,0
0,72.0,1,56.0,0,69.0,0,55.6,0,65.63,1,0,0,1,1,0,0
0,47.0,1,59.0,1,64.0,0,78.0,1,61.58,0,1,0,0,1,0,0
1,67.0,0,63.0,1,72.0,0,56.0,0,60.41,1,0,1,0,1,0,0
0,82.0,0,64.0,0,73.0,1,96.0,1,71.77,1,0,0,1,0,0,1
1,77.0,1,70.0,1,59.0,1,58.0,1,54.43,1,0,1,0,1,0,0
1,65.0,1,64.8,0,69.5,1,56.0,1,56.94,1,0,1,0,1,0,0
1,66.0,1,64.0,1,60.0,0,60.0,0,61.9,0,0,0,1,1,0,0
1,85.0,1,60.0,0,73.43,1,60.0,1,61.29,1,0,0,1,0,0,1
1,77.67,0,64.89,0,70.67,0,89.0,1,60.39,1,0,1,0,1,0,0
1,52.0,0,50.0,0,61.0,0,60.0,1,58.52,0,1,0,0,1,0,0
1,89.4,0,65.66,0,71.25,0,72.0,0,63.23,1,0,0,1,0,0,1
1,62.0,1,63.0,0,66.0,0,85.0,0,55.14,1,0,0,1,1,0,0
1,70.0,1,74.0,1,65.0,0,83.0,1,62.28,1,0,1,0,1,0,0
0,77.0,1,86.0,1,56.0,0,57.0,1,64.08,1,1,0,0,0,1,0
1,44.0,1,58.0,1,55.0,1,64.25,0,58.54,0,1,0,0,1,0,0
1,71.0,1,58.66,1,58.0,1,56.0,1,61.3,1,0,0,1,0,0,1
1,65.0,1,65.0,1,75.0,0,83.0,1,58.87,1,0,1,0,1,0,0
0,75.4,0,60.5,1,84.0,0,98.0,1,65.25,1,0,0,1,0,0,1
1,49.0,0,59.0,0,65.0,1,86.0,1,62.48,1,0,0,1,0,0,1
1,53.0,1,63.0,0,60.0,1,70.0,1,53.2,1,0,0,1,1,0,0
1,51.57,0,74.66,0,59.9,1,56.15,0,65.99,0,0,1,0,1,0,0
1,84.2,1,69.4,1,65.0,1,80.0,0,52.72,1,0,0,1,0,0,1
1,66.5,1,62.5,1,60.9,0,93.4,1,55.03,1,0,1,0,1,0,0
1,67.0,0,63.0,0,64.0,0,60.0,1,61.87,0,0,0,1,0,0,1
1,52.0,1,49.0,0,58.0,0,62.0,0,60.59,0,0,1,0,1,0,0
1,87.0,1,74.0,1,65.0,1,75.0,0,72.29,1,0,0,1,0,0,1
1,55.6,0,51.0,0,57.5,0,57.63,0,62.72,0,0,1,0,1,0,0
1,74.2,1,87.6,0,77.25,1,75.2,1,66.06,1,0,1,0,1,0,0
1,63.0,0,67.0,0,64.0,0,75.0,1,66.46,1,0,0,1,0,0,1
0,67.16,1,72.5,1,63.35,0,53.04,1,65.52,1,0,1,0,1,0,0
0,63.3,1,78.33,0,74.0,0,80.0,1,74.56,0,0,1,0,1,0,0
1,62.0,0,62.0,0,60.0,1,63.0,0,52.38,1,0,1,0,1,0,0
1,67.9,0,62.0,0,67.0,1,58.1,1,75.71,0,0,0,1,0,0,1
0,48.0,1,51.0,1,58.0,1,60.0,0,58.79,0,0,1,0,1,0,0
1,59.96,0,42.16,0,61.26,0,54.48,0,65.48,0,0,0,1,0,0,1
0,63.4,0,67.2,0,60.0,0,58.06,0,69.28,0,0,1,0,1,0,0
1,80.0,0,80.0,0,72.0,1,63.79,1,66.04,1,0,1,0,1,0,0
1,73.0,0,58.0,0,56.0,0,84.0,0,52.64,1,0,1,0,1,0,0
0,52.0,0,52.0,0,55.0,0,67.0,0,59.32,0,0,0,1,0,0,1
1,73.24,0,50.83,0,64.27,1,64.0,1,66.23,1,0,0,1,0,0,1
1,63.0,0,62.0,0,65.0,0,87.5,0,60.69,0,0,0,1,0,0,1
0,59.0,1,60.0,0,56.0,0,55.0,0,57.9,1,0,1,0,1,0,0
0,73.0,1,97.0,0,79.0,1,89.0,1,70.81,1,0,1,0,1,0,0
1,68.0,0,56.0,0,68.0,0,73.0,0,68.07,1,0,0,1,0,0,1
0,77.8,1,64.0,1,64.2,0,75.5,0,72.14,0,0,0,1,0,0,1
1,65.0,1,71.5,0,62.8,1,57.0,1,56.6,1,0,1,0,1,0,0
1,62.0,1,60.33,0,64.21,0,63.0,0,60.02,0,0,0,1,0,0,1
1,52.0,0,65.0,0,57.0,1,75.0,1,59.81,0,1,0,0,0,1,0
1,65.0,1,77.0,1,69.0,0,60.0,0,61.82,1,0,1,0,1,0,0
0,56.28,0,62.83,0,59.79,0,60.0,0,57.29,0,0,1,0,1,0,0
0,88.0,1,72.0,1,78.0,0,82.0,0,71.43,1,0,0,1,0,1,0
0,52.0,1,64.0,1,61.0,0,55.0,1,62.93,0,0,1,0,1,0,0
1,78.5,1,65.5,1,67.0,1,95.0,1,64.86,1,0,0,1,0,0,1
1,61.8,0,47.0,0,54.38,0,57.0,1,56.13,0,0,1,0,1,0,0
0,54.0,1,77.6,0,69.2,0,95.65,1,66.94,0,0,1,0,1,0,0
0,64.0,0,70.2,1,61.0,0,50.0,1,62.5,0,0,1,0,1,0,0
1,67.0,0,61.0,1,72.0,0,72.0,1,61.01,1,0,0,1,1,0,0
1,65.2,1,61.4,1,64.8,1,93.4,1,57.34,1,0,1,0,1,0,0
0,60.0,1,63.0,1,56.0,1,80.0,0,56.63,1,1,0,0,0,1,0
1,52.0,0,55.0,0,56.3,0,59.0,1,64.74,0,0,1,0,1,0,0
1,66.0,1,76.0,1,72.0,1,84.0,0,58.95,1,0,1,0,1,0,0
1,72.0,0,63.0,0,77.5,1,78.0,1,54.48,1,0,0,1,0,0,1
0,83.96,0,53.0,0,91.0,0,59.32,0,69.71,1,0,0,1,0,0,1
0,67.0,1,70.0,1,65.0,0,88.0,0,71.96,0,0,1,0,0,1,0
1,69.0,0,65.0,0,57.0,0,73.0,0,55.8,1,0,1,0,1,0,0
1,69.0,0,60.0,0,65.0,0,87.55,1,52.81,1,0,1,0,1,0,0
1,54.2,1,63.0,0,58.0,0,79.0,0,58.44,0,0,0,1,1,0,0
1,70.0,1,63.0,1,66.0,0,61.28,0,60.11,1,0,0,1,0,0,1
1,55.68,0,61.33,0,56.87,0,66.0,0,58.3,1,0,1,0,1,0,0
0,74.0,0,73.0,0,73.0,1,80.0,1,67.69,1,0,1,0,1,0,0
1,61.0,0,62.0,0,65.0,0,62.0,1,56.81,1,0,1,0,1,0,0
1,41.0,1,42.0,1,60.0,0,97.0,1,53.39,0,0,0,1,1,0,0
1,83.33,1,78.0,0,61.0,1,88.56,1,71.55,1,0,1,0,1,0,0
0,43.0,1,60.0,0,65.0,0,92.66,0,62.92,0,0,0,1,1,0,0
1,62.0,1,72.0,1,65.0,0,67.0,1,56.49,1,0,1,0,1,0,0
1,80.6,0,82.0,0,77.6,0,91.0,1,74.49,1,0,1,0,1,0,0
1,58.0,0,60.0,0,72.0,0,74.0,1,53.62,1,0,0,1,0,0,1
1,67.0,0,67.0,0,73.0,1,59.0,1,69.72,1,0,1,0,1,0,0
0,74.0,0,66.0,0,58.0,0,70.0,0,60.23,1,0,1,0,1,0,0
1,62.0,1,58.0,0,53.0,0,89.0,0,60.22,0,0,0,1,1,0,0
